secid,permno,Ticker,Name
5005,85041,'ASTA','A S T RESEARCH INC'
5015,56266,'AHM','AHMANSON H F & CO'
5016,61081,'AEIC','AIR EXPRESS INTERNATIONAL CORP'
5022,63845,'AAL','ALEXANDER & ALEXANDER SVCS INC'
5028,12205,'ALRN','ALTRON INC'
5029,60046,'AMH','AMDAHL CORP'
5033,12811,'AX','AMERICAN EXPLORATION CO'
5036,65859,'AIT','AMERITECH CORP'
5042,65111,'APL','A P L LTD'
5046,44652,'ASC','AMERICAN STORES CO NEW'
5048,27051,'AMP','A M P INC'
5049,19553,'AN','AMOCO CORP'
5052,52804,'APM','APPLIED MAGNETICS CORP'
5056,29196,'NAE','NORAM ENERGY CORP'
5058,17566,'AS','ARMCO INC'
5060,21143,'ARV','ARVIN INDUSTRIES INC'
5061,10364,'AR','ASARCO INC'
5067,10604,'ARC','ATLANTIC RICHFIELD CO'
5068,15684,'ASAI','ASA HOLDINGS LTD'
5070,49701,'AUG','AUGAT INC'
5078,16460,'BMP','BALLARD MEDICAL PRODUCTS'
5079,58480,'BLY','BALLY ENTERTAINMENT CORP'
5081,16564,'BTC','BANCTEC INC'
5083,51772,'BKB','BANKBOSTON CORP'
5085,51764,'SBK','SIGNET BANKING CORP'
5086,58827,'BAC','BANKAMERICA CORP'
5087,48354,'BT','BANKERS TRUST CORP'
5089,61284,'BBI','BARNETT BANKS INC'
5092,17196,'BBNK','BAYBANKS INC'
5097,19377,'BNL','BENEFICIAL CORP'
5101,17815,'BTL','BETZDEARBORN INC'
5102,17903,'BIGB','BIG B INC'
5115,18551,'BOAT','BOATMENS BANCSHARES INC'
5116,51393,'BBN','B B N CORP'
5120,18754,'BOOL','BOOLE & BABBAGE INC'
5133,53786,'BFI','BROWNING FERRIS INDUSTRIES INC'
5138,19888,'BBRC','BURR BROWN CORP'
5140,59686,'CBI','C B I INDUSTRIES INC'
5141,20240,'CML','C M L GROUP INC'
5142,10989,'BFO','BESTFOODS'
5147,66456,'CAL','CAL FED BANCORP INC'
5158,30330,'CCB','CAPITAL CITIES ABC INC'
5168,22016,'CNTO','CENTOCOR INC'
5169,23851,'CSR','CENTRAL & SOUTH WEST CORP'
5170,22075,'CFBS','CENTRAL FIDELITY BANKS INC'
